;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 10/04/2017 09:51:32
;----------------------------------------------

;Address Opcode 	ASM
0x0084	0xF04BC000  	MOVFF       R0, interrupt_result_L1
0x0088	0xF04CC001  	MOVFF       R1, interrupt_result_L1+1
;calculadoraLCD.c,53 :: 		PORTB.RB0 = 0; // digital output
0x008C	0x9081      	BCF         PORTB, 0 
;calculadoraLCD.c,54 :: 		PORTB.RB1 = 0;
0x008E	0x9281      	BCF         PORTB, 1 
;calculadoraLCD.c,55 :: 		PORTB.RB2 = 0;
0x0090	0x9481      	BCF         PORTB, 2 
;calculadoraLCD.c,56 :: 		PORTB.RB3 = 0;
0x0092	0x9681      	BCF         PORTB, 3 
;calculadoraLCD.c,58 :: 		if(edge == 1)
0x0094	0x501E      	MOVF        _edge, 0 
0x0096	0x0A01      	XORLW       1
0x0098	0xA4D8      	BTFSS       STATUS, 2 
0x009A	0xD0B9      	BRA         L_interrupt10
;calculadoraLCD.c,60 :: 		Lcd_Cmd(_LCD_CLEAR);
0x009C	0x0E01      	MOVLW       1
0x009E	0x6E5E      	MOVWF       FARG_Lcd_Cmd_out_char 
0x00A0	0xD8D8      	RCALL       _Lcd_Cmd
;calculadoraLCD.c,62 :: 		if(type == NUM && operation == EMPTY)
0x00A2	0x504A      	MOVF        interrupt_type_L1, 0 
0x00A4	0x0A06      	XORLW       6
0x00A6	0xE121      	BNZ         L_interrupt13
0x00A8	0x501D      	MOVF        _operation, 0 
0x00AA	0x0A07      	XORLW       7
0x00AC	0xE11E      	BNZ         L_interrupt13
L__interrupt47:
;calculadoraLCD.c,64 :: 		operando1 *= 10;
0x00AE	0xF000C019  	MOVFF       _operando1, R0
0x00B2	0xF001C01A  	MOVFF       _operando1+1, R1
0x00B6	0x0E0A      	MOVLW       10
0x00B8	0x6E04      	MOVWF       R4 
0x00BA	0x0E00      	MOVLW       0
0x00BC	0x6E05      	MOVWF       R5 
0x00BE	0xD9D9      	RCALL       _Mul_16x16_U
0x00C0	0xF019C000  	MOVFF       R0, _operando1
0x00C4	0xF01AC001  	MOVFF       R1, _operando1+1
;calculadoraLCD.c,65 :: 		operando1 += result;
0x00C8	0x504B      	MOVF        interrupt_result_L1, 0 
0x00CA	0x2600      	ADDWF       R0, 1 
0x00CC	0x504C      	MOVF        interrupt_result_L1+1, 0 
0x00CE	0x2201      	ADDWFC      R1, 1 
0x00D0	0xF019C000  	MOVFF       R0, _operando1
0x00D4	0xF01AC001  	MOVFF       R1, _operando1+1
;calculadoraLCD.c,66 :: 		IntToStr(operando1, text);
0x00D8	0xF04DC000  	MOVFF       R0, FARG_IntToStr_input
0x00DC	0xF04EC001  	MOVFF       R1, FARG_IntToStr_input+1
0x00E0	0x0E1F      	MOVLW       _text
0x00E2	0x6E4F      	MOVWF       FARG_IntToStr_output 
0x00E4	0x0E00      	MOVLW       hi_addr(_text)
0x00E6	0x6E50      	MOVWF       FARG_IntToStr_output+1 
0x00E8	0xDAA2      	RCALL       _IntToStr
;calculadoraLCD.c,67 :: 		}
L_interrupt13:
;calculadoraLCD.c,68 :: 		if(type != NUM && type != ON_CLEAR && type != IGUAL)
0x00EA	0x504A      	MOVF        interrupt_type_L1, 0 
0x00EC	0x0A06      	XORLW       6
0x00EE	0xE008      	BZ          L_interrupt16
0x00F0	0x504A      	MOVF        interrupt_type_L1, 0 
0x00F2	0x0A05      	XORLW       5
0x00F4	0xE005      	BZ          L_interrupt16
0x00F6	0x504A      	MOVF        interrupt_type_L1, 0 
0x00F8	0x0A00      	XORLW       0
0x00FA	0xE002      	BZ          L_interrupt16
L__interrupt46:
;calculadoraLCD.c,70 :: 		operation = type;
0x00FC	0xF01DC04A  	MOVFF       interrupt_type_L1, _operation
;calculadoraLCD.c,71 :: 		}
L_interrupt16:
;calculadoraLCD.c,72 :: 		if(type == NUM && operation != EMPTY)
0x0100	0x504A      	MOVF        interrupt_type_L1, 0 
0x0102	0x0A06      	XORLW       6
0x0104	0xE121      	BNZ         L_interrupt19
0x0106	0x501D      	MOVF        _operation, 0 
0x0108	0x0A07      	XORLW       7
0x010A	0xE01E      	BZ          L_interrupt19
L__interrupt45:
;calculadoraLCD.c,74 :: 		operando2 *= 10;
0x010C	0xF000C01B  	MOVFF       _operando2, R0
0x0110	0xF001C01C  	MOVFF       _operando2+1, R1
0x0114	0x0E0A      	MOVLW       10
0x0116	0x6E04      	MOVWF       R4 
0x0118	0x0E00      	MOVLW       0
0x011A	0x6E05      	MOVWF       R5 
0x011C	0xD9AA      	RCALL       _Mul_16x16_U
0x011E	0xF01BC000  	MOVFF       R0, _operando2
0x0122	0xF01CC001  	MOVFF       R1, _operando2+1
;calculadoraLCD.c,75 :: 		operando2 += result;
0x0126	0x504B      	MOVF        interrupt_result_L1, 0 
0x0128	0x2600      	ADDWF       R0, 1 
0x012A	0x504C      	MOVF        interrupt_result_L1+1, 0 
0x012C	0x2201      	ADDWFC      R1, 1 
0x012E	0xF01BC000  	MOVFF       R0, _operando2
0x0132	0xF01CC001  	MOVFF       R1, _operando2+1
;calculadoraLCD.c,76 :: 		IntToStr(operando2, text);
0x0136	0xF04DC000  	MOVFF       R0, FARG_IntToStr_input
0x013A	0xF04EC001  	MOVFF       R1, FARG_IntToStr_input+1
0x013E	0x0E1F      	MOVLW       _text
0x0140	0x6E4F      	MOVWF       FARG_IntToStr_output 
0x0142	0x0E00      	MOVLW       hi_addr(_text)
0x0144	0x6E50      	MOVWF       FARG_IntToStr_output+1 
0x0146	0xDA73      	RCALL       _IntToStr
;calculadoraLCD.c,77 :: 		}
L_interrupt19:
;calculadoraLCD.c,78 :: 		if(type == IGUAL)
0x0148	0x504A      	MOVF        interrupt_type_L1, 0 
0x014A	0x0A00      	XORLW       0
0x014C	0xE146      	BNZ         L_interrupt20
;calculadoraLCD.c,80 :: 		if(operation == SOMA)
0x014E	0x501D      	MOVF        _operation, 0 
0x0150	0x0A01      	XORLW       1
0x0152	0xE10B      	BNZ         L_interrupt21
;calculadoraLCD.c,81 :: 		IntToStr(operando1 + operando2, text);
0x0154	0x501B      	MOVF        _operando2, 0 
0x0156	0x2419      	ADDWF       _operando1, 0 
0x0158	0x6E4D      	MOVWF       FARG_IntToStr_input 
0x015A	0x501C      	MOVF        _operando2+1, 0 
0x015C	0x201A      	ADDWFC      _operando1+1, 0 
0x015E	0x6E4E      	MOVWF       FARG_IntToStr_input+1 
0x0160	0x0E1F      	MOVLW       _text
0x0162	0x6E4F      	MOVWF       FARG_IntToStr_output 
0x0164	0x0E00      	MOVLW       hi_addr(_text)
0x0166	0x6E50      	MOVWF       FARG_IntToStr_output+1 
0x0168	0xDA62      	RCALL       _IntToStr
L_interrupt21:
;calculadoraLCD.c,83 :: 		if(operation == SUB)
0x016A	0x501D      	MOVF        _operation, 0 
0x016C	0x0A02      	XORLW       2
0x016E	0xE10B      	BNZ         L_interrupt22
;calculadoraLCD.c,84 :: 		IntToStr(operando1 - operando2, text);
0x0170	0x501B      	MOVF        _operando2, 0 
0x0172	0x5C19      	SUBWF       _operando1, 0 
0x0174	0x6E4D      	MOVWF       FARG_IntToStr_input 
0x0176	0x501C      	MOVF        _operando2+1, 0 
0x0178	0x581A      	SUBWFB      _operando1+1, 0 
0x017A	0x6E4E      	MOVWF       FARG_IntToStr_input+1 
0x017C	0x0E1F      	MOVLW       _text
0x017E	0x6E4F      	MOVWF       FARG_IntToStr_output 
0x0180	0x0E00      	MOVLW       hi_addr(_text)
0x0182	0x6E50      	MOVWF       FARG_IntToStr_output+1 
0x0184	0xDA54      	RCALL       _IntToStr
L_interrupt22:
;calculadoraLCD.c,86 :: 		if(operation == MULT)
0x0186	0x501D      	MOVF        _operation, 0 
0x0188	0x0A03      	XORLW       3
0x018A	0xE112      	BNZ         L_interrupt23
;calculadoraLCD.c,87 :: 		IntToStr(operando1 * operando2, text);
0x018C	0xF000C019  	MOVFF       _operando1, R0
0x0190	0xF001C01A  	MOVFF       _operando1+1, R1
0x0194	0xF004C01B  	MOVFF       _operando2, R4
0x0198	0xF005C01C  	MOVFF       _operando2+1, R5
0x019C	0xD96A      	RCALL       _Mul_16x16_U
0x019E	0xF04DC000  	MOVFF       R0, FARG_IntToStr_input
0x01A2	0xF04EC001  	MOVFF       R1, FARG_IntToStr_input+1
0x01A6	0x0E1F      	MOVLW       _text
0x01A8	0x6E4F      	MOVWF       FARG_IntToStr_output 
0x01AA	0x0E00      	MOVLW       hi_addr(_text)
0x01AC	0x6E50      	MOVWF       FARG_IntToStr_output+1 
0x01AE	0xDA3F      	RCALL       _IntToStr
L_interrupt23:
;calculadoraLCD.c,89 :: 		if(operation == DIVI)
0x01B0	0x501D      	MOVF        _operation, 0 
0x01B2	0x0A04      	XORLW       4
0x01B4	0xE112      	BNZ         L_interrupt24
;calculadoraLCD.c,90 :: 		IntToStr(operando1 / operando2, text);
0x01B6	0xF004C01B  	MOVFF       _operando2, R4
0x01BA	0xF005C01C  	MOVFF       _operando2+1, R5
0x01BE	0xF000C019  	MOVFF       _operando1, R0
0x01C2	0xF001C01A  	MOVFF       _operando1+1, R1
0x01C6	0xD9D0      	RCALL       _Div_16x16_S
0x01C8	0xF04DC000  	MOVFF       R0, FARG_IntToStr_input
0x01CC	0xF04EC001  	MOVFF       R1, FARG_IntToStr_input+1
0x01D0	0x0E1F      	MOVLW       _text
0x01D2	0x6E4F      	MOVWF       FARG_IntToStr_output 
0x01D4	0x0E00      	MOVLW       hi_addr(_text)
0x01D6	0x6E50      	MOVWF       FARG_IntToStr_output+1 
0x01D8	0xDA2A      	RCALL       _IntToStr
L_interrupt24:
;calculadoraLCD.c,91 :: 		}
L_interrupt20:
;calculadoraLCD.c,92 :: 		if(type == ON_CLEAR)
0x01DA	0x504A      	MOVF        interrupt_type_L1, 0 
0x01DC	0x0A05      	XORLW       5
0x01DE	0xE10D      	BNZ         L_interrupt25
;calculadoraLCD.c,94 :: 		operando1 = 0;
0x01E0	0x6A19      	CLRF        _operando1 
0x01E2	0x6A1A      	CLRF        _operando1+1 
;calculadoraLCD.c,95 :: 		operando2 = 0;
0x01E4	0x6A1B      	CLRF        _operando2 
0x01E6	0x6A1C      	CLRF        _operando2+1 
;calculadoraLCD.c,96 :: 		operation = EMPTY;
0x01E8	0x0E07      	MOVLW       7
0x01EA	0x6E1D      	MOVWF       _operation 
;calculadoraLCD.c,97 :: 		IntToStr(0, text);
0x01EC	0x6A4D      	CLRF        FARG_IntToStr_input 
0x01EE	0x6A4E      	CLRF        FARG_IntToStr_input+1 
0x01F0	0x0E1F      	MOVLW       _text
0x01F2	0x6E4F      	MOVWF       FARG_IntToStr_output 
0x01F4	0x0E00      	MOVLW       hi_addr(_text)
0x01F6	0x6E50      	MOVWF       FARG_IntToStr_output+1 
0x01F8	0xDA1A      	RCALL       _IntToStr
;calculadoraLCD.c,98 :: 		}
L_interrupt25:
;calculadoraLCD.c,101 :: 		Lcd_Out(1,1,text);
0x01FA	0x0E01      	MOVLW       1
0x01FC	0x6E4D      	MOVWF       FARG_Lcd_Out_row 
0x01FE	0x0E01      	MOVLW       1
0x0200	0x6E4E      	MOVWF       FARG_Lcd_Out_column 
0x0202	0x0E1F      	MOVLW       _text
0x0204	0x6E4F      	MOVWF       FARG_Lcd_Out_text 
0x0206	0x0E00      	MOVLW       hi_addr(_text)
0x0208	0x6E50      	MOVWF       FARG_Lcd_Out_text+1 
0x020A	0xD8F6      	RCALL       _Lcd_Out
;calculadoraLCD.c,102 :: 		}
0x020C	0xD000      	BRA         L_interrupt26
L_interrupt10:
;calculadoraLCD.c,106 :: 		}
L_interrupt26:
;calculadoraLCD.c,108 :: 		edge = !edge;
0x020E	0x521E      	MOVF        _edge, 1 
0x0210	0x0E01      	MOVLW       1
0x0212	0xA4D8      	BTFSS       STATUS, 2 
0x0214	0x0E00      	MOVLW       0
0x0216	0x6E1E      	MOVWF       _edge 
;calculadoraLCD.c,109 :: 		INTCON.RBIF = 0;
0x0218	0x90F2      	BCF         INTCON, 0 
;calculadoraLCD.c,110 :: 		}
L_interrupt0:
;calculadoraLCD.c,111 :: 		}
L_end_interrupt:
L__interrupt50:
0x021A	0xF000C018  	MOVFF       24, R0
0x021E	0xF001C017  	MOVFF       23, R1
0x0222	0xF00CC016  	MOVFF       22, R12
0x0226	0xF00DC015  	MOVFF       21, R13
0x022A	0x0011      	RETFIE      1
; end of _interrupt
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x022C	0x0E0F      	MOVLW       15
0x022E	0x6E0C      	MOVWF       R12, 0
0x0230	0x0E47      	MOVLW       71
0x0232	0x6E0D      	MOVWF       R13, 0
L_Delay_5500us5:
0x0234	0x2E0D      	DECFSZ      R13, 1, 0
0x0236	0xD7FE      	BRA         L_Delay_5500us5
0x0238	0x2E0C      	DECFSZ      R12, 1, 0
0x023A	0xD7FC      	BRA         L_Delay_5500us5
0x023C	0x0000      	NOP
0x023E	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x0240	0x0012      	RETURN      0
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x0242	0x0000      	NOP
0x0244	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x0246	0x0012      	RETURN      0
; end of _Delay_1us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x0248	0x0E21      	MOVLW       33
0x024A	0x6E0D      	MOVWF       R13, 0
L_Delay_50us2:
0x024C	0x2E0D      	DECFSZ      R13, 1, 0
0x024E	0xD7FE      	BRA         L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x0250	0x0012      	RETURN      0
; end of _Delay_50us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x0252	0xBE5E      	BTFSC       FARG_Lcd_Cmd_out_char, 7 
0x0254	0xD002      	BRA         L__Lcd_Cmd21
0x0256	0x9E83      	BCF         LCD_D7, BitPos(LCD_D7+0) 
0x0258	0xD001      	BRA         L__Lcd_Cmd22
L__Lcd_Cmd21:
0x025A	0x8E83      	BSF         LCD_D7, BitPos(LCD_D7+0) 
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x025C	0xBC5E      	BTFSC       FARG_Lcd_Cmd_out_char, 6 
0x025E	0xD002      	BRA         L__Lcd_Cmd23
0x0260	0x9C83      	BCF         LCD_D6, BitPos(LCD_D6+0) 
0x0262	0xD001      	BRA         L__Lcd_Cmd24
L__Lcd_Cmd23:
0x0264	0x8C83      	BSF         LCD_D6, BitPos(LCD_D6+0) 
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x0266	0xBA5E      	BTFSC       FARG_Lcd_Cmd_out_char, 5 
0x0268	0xD002      	BRA         L__Lcd_Cmd25
0x026A	0x9A83      	BCF         LCD_D5, BitPos(LCD_D5+0) 
0x026C	0xD001      	BRA         L__Lcd_Cmd26
L__Lcd_Cmd25:
0x026E	0x8A83      	BSF         LCD_D5, BitPos(LCD_D5+0) 
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x0270	0xB85E      	BTFSC       FARG_Lcd_Cmd_out_char, 4 
0x0272	0xD002      	BRA         L__Lcd_Cmd27
0x0274	0x9883      	BCF         LCD_D4, BitPos(LCD_D4+0) 
0x0276	0xD001      	BRA         L__Lcd_Cmd28
L__Lcd_Cmd27:
0x0278	0x8883      	BSF         LCD_D4, BitPos(LCD_D4+0) 
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x027A	0xB048      	BTFSC       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x027C	0xD002      	BRA         L__Lcd_Cmd29
0x027E	0x8484      	BSF         LCD_RS, BitPos(LCD_RS+0) 
0x0280	0xD001      	BRA         L__Lcd_Cmd30
L__Lcd_Cmd29:
0x0282	0x9484      	BCF         LCD_RS, BitPos(LCD_RS+0) 
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x0284	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,29 :: 		
0x0286	0xDFDD      	RCALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x0288	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,33 :: 		
0x028A	0xB65E      	BTFSC       FARG_Lcd_Cmd_out_char, 3 
0x028C	0xD002      	BRA         L__Lcd_Cmd31
0x028E	0x9E83      	BCF         LCD_D7, BitPos(LCD_D7+0) 
0x0290	0xD001      	BRA         L__Lcd_Cmd32
L__Lcd_Cmd31:
0x0292	0x8E83      	BSF         LCD_D7, BitPos(LCD_D7+0) 
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x0294	0xB45E      	BTFSC       FARG_Lcd_Cmd_out_char, 2 
0x0296	0xD002      	BRA         L__Lcd_Cmd33
0x0298	0x9C83      	BCF         LCD_D6, BitPos(LCD_D6+0) 
0x029A	0xD001      	BRA         L__Lcd_Cmd34
L__Lcd_Cmd33:
0x029C	0x8C83      	BSF         LCD_D6, BitPos(LCD_D6+0) 
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x029E	0xB25E      	BTFSC       FARG_Lcd_Cmd_out_char, 1 
0x02A0	0xD002      	BRA         L__Lcd_Cmd35
0x02A2	0x9A83      	BCF         LCD_D5, BitPos(LCD_D5+0) 
0x02A4	0xD001      	BRA         L__Lcd_Cmd36
L__Lcd_Cmd35:
0x02A6	0x8A83      	BSF         LCD_D5, BitPos(LCD_D5+0) 
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x02A8	0xB05E      	BTFSC       FARG_Lcd_Cmd_out_char, 0 
0x02AA	0xD002      	BRA         L__Lcd_Cmd37
0x02AC	0x9883      	BCF         LCD_D4, BitPos(LCD_D4+0) 
0x02AE	0xD001      	BRA         L__Lcd_Cmd38
L__Lcd_Cmd37:
0x02B0	0x8883      	BSF         LCD_D4, BitPos(LCD_D4+0) 
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x02B2	0xB048      	BTFSC       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x02B4	0xD002      	BRA         L__Lcd_Cmd39
0x02B6	0x8484      	BSF         LCD_RS, BitPos(LCD_RS+0) 
0x02B8	0xD001      	BRA         L__Lcd_Cmd40
L__Lcd_Cmd39:
0x02BA	0x9484      	BCF         LCD_RS, BitPos(LCD_RS+0) 
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x02BC	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,41 :: 		
0x02BE	0xDFC1      	RCALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x02C0	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,44 :: 		
0x02C2	0xA048      	BTFSS       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x02C4	0xD002      	BRA         L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x02C6	0xDFB2      	RCALL       _Delay_5500us
0x02C8	0xD001      	BRA         L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x02CA	0xDFBE      	RCALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x02CC	0x0012      	RETURN      0
; end of _Lcd_Cmd
_Div_16x16_U:
;__Lib_Math.c,102 :: 		
;__Lib_Math.c,109 :: 		
0x02CE	0x6A08      	CLRF        R8, 0
;__Lib_Math.c,110 :: 		
0x02D0	0x6A09      	CLRF        R9, 0
;__Lib_Math.c,111 :: 		
0x02D2	0x0E10      	MOVLW       16
;__Lib_Math.c,112 :: 		
0x02D4	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,113 :: 		
0x02D6	0x3401      	RLCF        R1, 0, 0
;__Lib_Math.c,114 :: 		
0x02D8	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,115 :: 		
0x02DA	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,116 :: 		
0x02DC	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,117 :: 		
0x02DE	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,118 :: 		
0x02E0	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,119 :: 		
0x02E2	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,120 :: 		
0x02E4	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,121 :: 		
0x02E6	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,122 :: 		
0x02E8	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,123 :: 		
0x02EA	0xD007      	BRA         $+16
;__Lib_Math.c,124 :: 		
0x02EC	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,125 :: 		
0x02EE	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,126 :: 		
0x02F0	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,127 :: 		
0x02F2	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,128 :: 		
0x02F4	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,129 :: 		
0x02F6	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,130 :: 		
0x02F8	0x90D8      	BCF         STATUS, 0, 0
;__Lib_Math.c,131 :: 		
0x02FA	0x3600      	RLCF        R0, 1, 0
;__Lib_Math.c,132 :: 		
0x02FC	0x3601      	RLCF        R1, 1, 0
;__Lib_Math.c,133 :: 		
0x02FE	0x2E0C      	DECFSZ      R12, 1, 0
;__Lib_Math.c,134 :: 		
0x0300	0xD7EA      	BRA         $-42
;__Lib_Math.c,136 :: 		
L_end_Div_16x16_U:
0x0302	0x0012      	RETURN      0
; end of _Div_16x16_U
_Div_16x16_S_L:
;__Lib_Math.c,139 :: 		
;__Lib_Math.c,146 :: 		
0x0304	0x3401      	RLCF        R1, 0, 0
;__Lib_Math.c,147 :: 		
0x0306	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,148 :: 		
0x0308	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,149 :: 		
0x030A	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,150 :: 		
0x030C	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,151 :: 		
0x030E	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,152 :: 		
0x0310	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,153 :: 		
0x0312	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,154 :: 		
0x0314	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,155 :: 		
0x0316	0x3600      	RLCF        R0, 1, 0
;__Lib_Math.c,156 :: 		
0x0318	0x3601      	RLCF        R1, 1, 0
;__Lib_Math.c,158 :: 		
0x031A	0x0E0F      	MOVLW       15
;__Lib_Math.c,159 :: 		
0x031C	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,161 :: 		
0x031E	0x3401      	RLCF        R1, 0, 0
;__Lib_Math.c,162 :: 		
